n,time_matrix_ms,time_list_ms
100,0.087,0.277
150,0.196,0.819
200,0.321,1.471
250,0.524,2.374
300,1.358,2.929
350,1.747,3.900
400,2.303,5.170
450,3.067,6.625
500,3.710,8.273
550,4.600,10.234
600,5.177,12.059
650,6.498,14.493
700,7.158,16.232
750,8.198,19.321
800,9.155,21.760
850,10.590,25.138
900,11.734,27.390
950,13.000,30.041
1000,15.000,34.679
