n,time_matrix_ms,time_list_ms
100,0.074,0.169
150,0.151,0.467
200,0.268,0.753
250,0.449,1.232
300,0.842,1.467
350,1.146,2.077
400,1.444,2.527
450,1.946,3.381
500,2.333,4.122
550,2.741,4.999
600,3.381,6.102
650,4.006,7.076
700,4.628,8.270
750,5.307,9.483
800,5.827,11.113
850,6.839,12.490
900,7.556,13.938
950,8.247,15.641
1000,9.405,17.817
